jpmorgan chase,[u'http://www.jpmorganchase.com/corporate/About-JPMC/corporate-leadership.htm']
carolinas healthcare system,[]
home,"[u'https://www.ecolonial.com/home/executive-team/', u'https://www.peppergroup.com.au/about-us/Management/executive-team.html', u'http://www.bionucleonics.com/executive-team/']"
boston scientific,"[u'http://www.bostonscientific.com/en-US/about-us/executive-committee.html', u'http://www.bostonheartdiagnostics.com/about_team_executive.php']"
general motors,[u'http://www.4-traders.com/GENERAL-MOTORS-COMPANY-6873535/news/General-Motors-Company--GM-Sets-Pay-for-Executive-Team-Update-17822278/']
siemens healthcare,"[u'http://medical.toshiba.com/about/executive-team/', u'http://www.siemensgovt.com/ab_executive_team.html']"
humana,[]
us air force,[]
nationwide insurance,[u'http://www.nationwide.com/about-us/executive-biographies.jsp']
starbucks coffee company,[]
hewlett-packard,"[u'http://www8.hp.com/us/en/hp-information/executive-team/team.html', u'https://ssl.www8.hp.com/us/en/company-information/executive-team/ceo-index.html', u'http://www.crn.com/news/channel-programs/240160277/hps-whitman-shakes-up-executive-team-to-drive-sales-growth.htm']"
charles schwab,[]
jacobs engineering,[]
hca,"[u'http://www.hcahospitals.co.uk/about-hca/management-team/', u'http://careersathca.com/executives/']"
aramark,[u'http://www.aramark.ie/our-people/executive-team/']
medtronic,"[u'http://www.medtronic.com/about-us/company-profile/leadership/index.htm', u'http://www.baxter.com/about_baxter/corporate_governance/company_leadership/index.html']"
cgi,[]
kelly services,"[u'http://www.kellyservices.com.au/AU/About-Us/Kelly-Executive/', u'http://www.kellyservices.com/Global/About-Us/Kelly-Leadership/', u'http://www.kellyservices.us/US/About-Us/Company-Information/Our-Leadership/']"
wells fargo bank,[u'https://www.wellsfargo.com/about/corporate/executive_officers/']
usaa,[u'https://www.usaa.com/inet/pages/about_usaa_corporate_governance_executive_council']
usaf,[]
basf,[u'http://www.basf-new-business.com/en/about-us/management-team/']
dow chemical,[u'http://www.dow.com/microbial/about/ab_leadership_team.htm']
wellpoint,"[u'http://media.corporate-ir.net/media_files/irol/13/130104/wellpoint2011/executive-leadership-team.html', u'http://wellpointhealth.ca/about/team/']"
amazon.com,[u'http://allthingsd.com/20130206/amazons-executive-team-is-shrinking/']
avon,[]
centurylink,[]
caterpillar inc.,[]
international paper,[]
liberty mutual insurance,[]
pepsico,[u'http://www.pepsicenter.com/kse/company/executive-team/']
pfizer,"[u'http://www.pfizer.com/about/leadership_and_structure/meet_executive_leaders', u'http://www.pfizer.com/about/leadership_and_structure/leadership_structure', u'http://www.loweenterprises.com/about/Executive_Team.aspx', u'http://www.freshnews.com/news/46052/san-diego-phenomix-expands-executive-leadership-team-chris-burnley-named-chief-business-o']"
usps,[u'http://postandparcel.info/53937/news/human-resources/vogel-and-vegliante-to-retire-from-usps-executive-team/']
worleyparsons,[]
unitedhealthcare,"[u'http://www.unitedhealthgroup.com/About/Executives.aspx', u'http://firsthealth.coventryhealthcare.com/about-first-health/executive-profiles/index.htm']"
cognizant technology solutions,[]
the home depot,[u'http://www.retailingtoday.com/article/home-depot-makes-changes-executive-team-0']
paychex,[u'http://www.paydaypr.com/about-2/executive-team/']
bny mellon,"[u'http://us.bnymellonam.com/core/investment_managers_and_distribution/bny_mellon_pension_services/our_team/our_team.html', u'http://www.cibcmellon.com/Contents/en_CA/English/AboutUs/Executive-Team.html']"
united airlines,[]
jp morgan chase,[u'http://www.jpmorganchase.com/corporate/About-JPMC/corporate-leadership.htm']
apple,[]
principal financial group,[]
comcast cable,[]
travelers,"[u'http://www.travelers.ie/about-us/leadership-team.aspx', u'http://travelerscup.com/about/executive-team/']"
verizon business,"[u'http://www.verizon.com/about/our-company/executive-bios/', u'http://www.verizonwireless.com/aboutus/leadership/executive.html', u'http://news.verizonenterprise.com/executive-team/']"
ucla,[]
kohl's department stores,"[u""http://www.thefreelibrary.com/Kohl's+Announces+New+Leadership+for+Planning+and+Allocation+Team%3b...-a0118843086""]"
cb richard ellis,"[u'http://www.cbre.us/aboutus/Pages/Executive-Team.aspx', u'http://www.costar.com/News/Article/CB-Richard-Ellis-Adds-to-Executive-Team/112689']"
